ID,Authors,Year,Year_numeric,Decade,Title,Search engine,Classification,Problem_statement,Research_gap,Contribution,Method,Method_clean,Method_category,Method_detail,Study region,Study_region_clean,Study_region_continent,Numerical water value,Has_water_value,DOI,Extraction_source,Notes
1-127,"Stoenescu, I. B.; Costinas, S.; Deaconu, G. M.",2019,2019,2015–2019,Assessment of Hydropower Plants Energy Production Cost Influenced by Operational Decisions and Control Strategy,IEEE Xplore,G,"Determining the final efficiency surface of hydropower units is complicated by various internal power losses related to friction, core losses, and excitation winding within the generator.",Methodology for determining hydro-generator power losses needs to move beyond simple assessments to more detailed calorimetric methods based on specific international electrotechnical standards (inferred).,A calorimetric method based on IEC 60034-2 standards calculates power losses to accurately determine the hydropower unit final efficiency surface through real CAM combinations.,Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,,Not specified,Not specified,,False,10.1109/CSCS.2019.00062,"Section 2, Refs",
1-128,"Bellenbaum, J.; Weber, C.; Doorman, G.; Farahmand, H.",2018,2018,2015–2019,Balancing Market Integration - Model-Based Analysis of Potential Cross-Border Reserve Exchange Between Norway and Germany,IEEE Xplore,D,Integrating balancing markets across borders requires transmission capacity which incurs opportunity costs when committed reserves are activated instead of spot trades.,Heuristics are needed for estimating future transmission capacity utilization when spot and reserve markets are not co-optimized in advance. (inferred).,A parsimonious optimization model calculates the efficient utilization of transmission capacity for simultaneous spot and reserve exchange between interconnected countries.,LP,LP,Optimization,LP,,Not specified,Not specified,,False,10.1109/EEM.2018.8469856,"Abstract, Sec II",
1-129,"Fujii, Y.; Okamura, T.; Inagaki, K.; Yamaji, K.",2004,2004,2000–2004,Basic analysis of the pricing processes in modeled electricity markets with multi-agent simulation,IEEE Xplore,D,Vertically integrated utilities are transitioning to deregulated markets where pricing processes are complex and determined by multiple decision-making entities.,Existing game theory and reinforcement learning studies have not sufficiently explored the effects of market design on pricing processes.,A multi-agent model utilizes reinforcement learning for agents to autonomously learn bidding strategies through trial-and-error to analyze electricity market price formation.,Other,Other,Other,Other,,Not specified,Not specified,,False,10.1109/DRPT.2004.1338503,"Abstract, Intro",
1-130,"Gebrekiros, Y.; Doorman, G.; Jaehnert, S.; Farahmand, H.",2013,2013,2010–2014,Bidding in the Frequency Restoration Reserves (FRR) market for a Hydropower Unit,IEEE Xplore,A,"Hydropower units must deviate from their nominal, most profitable operation points to provide frequency restoration reserves (FRR), requiring a method to calculate robust bidding prices for these services.",Literature lacked an opportunity cost-based method that utilizes piecewise linear discharge-power relationships to determine bidding prices for both upward and downward FRR capacity provision. (inferred).,"A method uses the piecewise linear characteristics of hydropower units to calculate bidding prices for upward and downward FRR, demonstrating robustness even when service order is changed.",MILP,MILP,Optimization,MILP,,Not specified,Not specified,Yes,True,10.1109/ISGTEurope.2013.6695362,"Intro, Conclusion",
1-131,"Gu, H.; Zhou, Y.; Wang, Y.",2008,2008,2005–2009,Bidding strategies analysis for hydro-thermal power suppliers under different power demand,IEEE Xplore,C,Cascade hydropower stations require complex coordination to optimize water utilization across multiple stations while fulfilling comprehensive utilization requirements and maintaining grid stability. (inferred).,Current bidding models do not adequately consider the minimum time limits of series starting-up or the impacts of cascade hydropower station comprehensive utilization.,A discrete-time evolutionary game model optimizes generator bidding strategies while incorporating hit probabilities and technical constraints for cascade hydropower operations. (inferred).,Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,,Not specified,Not specified,,False,10.1109/CICED.2008.5211675,"Conclusion, References",
1-135,"Ojeda-Esteybar, D. M.; Lopez-Salgado, C. J.; Pringles, R.; Ano, O.; Rubio-Barros, R. G.",2020,2020,2020–2025,Co-optimization in the operation of hydroelectric and solar generation in the province of San Juan: Methodology,IEEE Xplore,R,Hydropower operators must maximize revenues from energy sales while accurately representing non-linear production functions that depend on both turbine flow and variable hydraulic head.,Standard linear programming models overestimate or underestimate produced energy because they linearize production functions without accounting for hydraulic head variations in the reservoir.,A mathematical model using Benders decomposition iterations between a master problem and subproblems to solve the short-term scheduling of reservoirs with non-linear production functions.,NLP,Other,Optimization,NLP,,Not specified,Not specified,,False,10.1109/TDLA47668.2020.9326092,"Intro, Solution Methodology",
1-137,"Binato, S.; Pereira, M.",1995,1995,Pre-2000,Decentralized planning of hydroelectric power systems,IEEE Xplore,R,Restructuring the power sector to allow private enterprise participation requires determining the optimality of decentralized plans versus centralized coordination in developing countries.,Decentralized planning frameworks lacked rigorous assessment of how individual hydro plant generation choices impact national load growth and social investment requirements (inferred).,A coordinating framework evaluates the benefits of interconnected hydrothermal system operations to supply electricity needs while competing with social investments in developing countries.,LP,LP,Optimization,LP,,Not specified,Not specified,,False,10.1109/59.373975,"Intro, References",
1-138,"Ma, O.; Alkadi, N.; Cappers, P.; Denholm, P.; Dudley, J.; Goli, S.; Hummon, M.; Kiliccote, S.; MacDonald, J.; Matson, N.; Olsen, D.; Rose, C.; Sohn, M. D.; Starke, M.; Kirby, B.; O'Malley, M.",2013,2013,2010–2014,Demand Response for Ancillary Services,IEEE Xplore,R,Integrating variable generation like wind and solar increases the need for system flexibility and fast-responding ancillary services that generators may not always provide efficiently.,"Existing literature focuses on peak load management, leaving a gap in understanding the realizable potential and economic value of customer loads providing ancillary services year-round.",A methodology constructs detailed temporal and spatial representations of demand response resources to evaluate their economic value and implementation barriers for ancillary services.,Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,,Not specified,Not specified,,False,10.1109/TSG.2013.2258049,"Abstract, Intro, Methodology",
1-139,"Fernandez, A.; Blumsack, S.; Reed, P.",2012,2012,2010–2014,Evaluating Wind-Following and Ecosystem Services for Hydroelectric Dams in PJM,IEEE Xplore,R,Hydropower operators participating in centralized markets face the decision of when to sell electricity and what type of wind-following service to offer to the market.,"Traditional load-following practices do not specifically optimize the allocation of hydropower capacity for ""wind following"" services within a strategic decision-making framework (inferred).",An optimization-based decision framework allows hydropower generators to allocate capacity to wind-following markets while satisfying monthly energy declarations and reservoir supply constraints.,LP,LP,Optimization,LP,,Not specified,Not specified,,False,10.1109/HICSS.2012.256,"Intro, Decision Framework",
1-145,"Warland, G.; Fosso, O.; Wangensteen, I.; Wolfgang, O.",2005,2005,2005–2009,Efficient transmission pricing in power systems with considerable time-dependency,IEEE Xplore,G,Forecasting point tariffs and managing congestion in hydro-thermal systems is complex due to loop flows in meshed power grids and the time-dependent value of stored water.,Fundamental optimization models for electricity markets often omit detailed power flow constraints and marginal losses necessary for determining dynamic point tariffs in hydro-dominated systems.,An optimization model uses the SDDP technique and linearized power flow equations to forecast dynamic transmission tariffs while maximizing social welfare and minimizing grid losses.,SDP,SDP,Optimization,SDP,,Not specified,Not specified,,False,10.1109/IPEC.2005.206948,"Intro, Methodology",
1-147,"Petrichenko, R.; Baltputnis, K.; Sobolevsky, D.; Sauhats, A.",2018,2018,2015–2019,Estimating the Costs of Operating Reserve Provision by Poundage Hydroelectric Power Plants,IEEE Xplore,F,Hydropower plant owners require fair remuneration for reserve services to recoup investment costs and operational expenses in competitive energy markets.,There is a lack of empirical methods for estimating the specific opportunity costs of providing different operating reserves for cascaded hydropower systems. (inferred).,An optimization model uses real-world data to calculate opportunity costs for spinning and non-spinning reserve provision in a cascaded hydropower system.,NLP,Other,Optimization,NLP,,Not specified,Not specified,,False,10.1109/EEM.2018.8469876,"Intro, Sec II",
1-148,"Aasgard, E. K.; Andersen, G. S.; Fleten, S.; Haugstvedt, D.",2014,2014,2010–2014,Evaluating a Stochastic-Programming-Based Bidding Model for a Multireservoir System,IEEE Xplore,C,Hydropower producers face complex daily tasks in determining optimal price-quantity bids for day-ahead markets while coordinating water releases across multiple interlinked reservoirs under uncertainty.,Existing bidding methodologies often rely on simplified time-series approaches rather than fundamental models that represent complex river systems and long-term water values.,"A stochastic programming model using fundamental price scenarios optimizes day-ahead bidding and reduces undesirable ""odd starts"" by seventeen percent in multi-reservoir systems.",MILP,MILP,Optimization,MILP,,Not specified,Not specified,,False,10.1109/TPWRS.2014.2298311,"Intro, Conclusion",
1-149,"Hammons, T.; Olsen, A.; Gudnundsson, T.",1989,1989,Pre-2000,Feasibility of Iceland/United Kingdom HVDC submarine cable link,IEEE Xplore,R,"The United Kingdom requires additional generating capacity to satisfy growing demand, while Iceland possesses significant economically harnessable hydropower potential that is currently underutilized.",No comprehensive assessment existed for the technical and economic viability of a high-voltage direct current submarine cable link between Iceland and the United Kingdom (inferred).,"A feasibility study addresses market considerations, investment requirements, and technical aspects of a 500MW link to export Icelandic hydropower to British markets.",Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,,Not specified,Not specified,,False,10.1109/60.43244,"Abstract, Intro, Conclusions",
1-151,"Khodadadi, A.; Soder, L.; Amelin, M.",2022,2022,2020–2025,Flexible Stochastic Bilevel Scheduling Strategy in Hydropower Dominated Energy Markets,IEEE Xplore,A,Hydropower operators in the Nordic market face complex optimal planning and operation challenges that involve strategic bidding across multiple discharging segments and market price scenarios.,Methodology for strategic hydropower operation lacked a bilevel optimization framework that effectively handles price-maker behavior and downstream impacts across cascaded plant configurations in a competitive market. (inferred).,"A bilevel optimization model facilitates strategic planning for hydropower plants by simulating interactions between plant generation, reservoir content, and discharging segments under varying price scenarios.",LP,LP,Optimization,LP,,Not specified,Not specified,Yes,True,10.1109/ISGTAsia54193.2022.10003497,Nomenclature,
1-152,"Bermudez, J.",2005,2005,2005–2009,General Comparison and Graphic Representation of Economic Dispatch Solutions,IEEE Xplore,C,"Market participants and students struggle to understand the variations in economic dispatch solutions between monopoly, oligopoly, and perfect market environments for hydrothermal coordination.",Scientific literature often lacks clear graphical representations and direct comparisons of different market structures for simple yet deeply enlightening hydrothermal coordination cases.,"A didactic framework provides graphical solutions and comparisons for economic dispatch under various market environments, focusing on social benefit and consumer payment.",LP,LP,Optimization,LP,,Not specified,Not specified,,False,10.1109/TDC.2005.1546973,"Abstract, Intro, Conclusion",
1-153,"Baslis, C. G.; Bakirtzis, A. G.",2009,2009,2005–2009,Hourly-discretized mid-term power system operation in a competitive energy market,IEEE Xplore,C,Deregulated hydrothermal power systems require efficient mid-term operational strategies to manage reservoir water and thermal unit commitment while maximizing profits for dominant firms.,"Standard optimization models often separate medium-term water management from short-term operational constraints, leading to less realistic representation of system operation.",An optimization-based method using mixed integer programming jointly models yearly reservoir management and hourly thermal unit commitment decisions for asymmetric oligopoly markets.,MILP,MILP,Optimization,MILP,,Not specified,Not specified,,False,10.1109/PTC.2009.5282072,"Abstract, Intro",
1-154,"Zhang, S.; Ma, G.; Chen, S.; Huang, W.; Yang, Y.",2022,2022,2020–2025,Hydropower Pricing Options for Cross-Border Electricity Trading in China Based on Bi-Level Optimization,IEEE Xplore,C,Significant spatial mismatches between power supply and demand in South Asian countries necessitate efficient cross-border electricity trading strategies to support regional economic development.,Existing cross-border trade models often fail to account for the nonconvex and nonlinear constraints introduced by cascade hydropower stations in pricing decisions.,A bi-level optimization model uses mixed-integer linear programming to determine optimal hydropower pricing options for cross-border trading while ensuring system stability.,MILP,MILP,Optimization,MILP,,Not specified,Not specified,,False,10.1109/ACCESS.2022.3196910,"Intro, Nomenclature, Conclusion",
1-155,"Liu, Y.; Zhang, N.; Kang, C.; Xia, Q.; Wu, H.; Chen, Z.",2017,2017,2015–2019,Impact of Carbon market on China's electricity market: An equilibrium analysis,IEEE Xplore,E,Power plant operators must navigate complex bidding strategies in coupled electricity and carbon markets to maximize profit under regulatory constraints.,Analytical methods struggle with the complexity of Nash equilibrium in multi-market environments involving both generation rights and carbon trading. (inferred).,A bi-level model and a Nash equilibrium solving algorithm optimize bidding strategies for power plants participating in generation right and carbon markets.,Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,,Not specified,Not specified,,False,10.1109/PESGM.2017.8274309,"Sec II, Sec III",
1-156,"Haugen, M.; Schaffer, L. E.; Mo, B.; Helseth, A.",2020,2020,2020–2025,Impact on hydropower plant income from participating in reserve capacity markets,IEEE Xplore,F,Tighter integration of European power systems and increased renewable penetration require individual hydropower plants to evaluate future income potential across multiple markets.,Previous modeling frameworks lacked the combination of long-term strategic and detailed short-term components for evaluating income potential for individual hydropower plants.,A hydro-thermal multi-market model uses linearized start-up costs to evaluate future income potential for individual Nordic hydropower plants across various markets.,LP,LP,Optimization,LP,,Not specified,Not specified,,False,10.1109/EEM49802.2020.9221881,"Intro, Methodology",
1-157,"Song, M.; Amelin, M.",2015,2015,2015–2019,Improving the efficiency of a hydro-thermal power system utilizing demand-side flexibility,IEEE Xplore,R,"Seasonal and hourly load patterns lead to the inefficient commitment of expensive peak generators while low-cost generators remain underutilized, causing electricity price volatility.",The potential impact of shifting customer loads across twenty-four hours on the overall efficiency of an isolated power generation system remains insufficiently analyzed (inferred).,A linear mathematical model redistributes daily consumption to minimize total generation costs by leveraging demand-side flexibility in systems with hydropower and intermittent sources.,LP,LP,Optimization,LP,,Not specified,Not specified,,False,10.1109/EEM.2015.7216687,"Intro, Formulation",
1-158,"Justino, T.; Marzano, L.; Melo, A.; Maceira, M.; Batista, F.",2016,2016,2015–2019,Incorporating multi-area reliability concepts to the evaluation of the Brazilian power system capacity to supply the peak load,IEEE Xplore,G,"Hydropower systems face uncertainties in peak generation capacity because available power depends on water head and stored volumes, which vary with stochastic streamflows and hydrological trends.",Traditional multi-area reliability evaluation often ignores the specific dependencies of peak capacity on water value and reservoir storage levels in large-scale hydropower systems (inferred).,A methodology uses the NEWAVE and CONFINT models to calculate basic reliability indices like LOLP by integrating multi-area adequacy analysis with multivariate synthetic energy inflow scenarios.,SDDP,SDDP,Optimization,SDDP,,Not specified,Not specified,,False,10.1109/PSCC.2016.7541015,"Intro, Multi-area Reliability",
1-159,"Mendes, C.; Staffell, I.; Green, R.",2022,2022,2020–2025,Increasing Price Granuality in Electricity System Models,IEEE Xplore,D,Existing electricity market models often lack transparency and struggle to replicate realistic daily price variation and spikes for storage arbitrage.,Current structural models frequently misrepresent the volatility and amplitude of price spikes necessary for valuing flexible peak capacity and storage.,An extended linear dispatch model uses a quadratic cost function and post-optimizer transformation to replicate historic price time-series and volatility.,LP,LP,Optimization,LP,,Not specified,Not specified,,False,10.1109/EEM54602.2022.9920990,"Intro, Conclusion",
1-160,"Tveten Asa, G.; Bolkesjo Torjus, F.",2016,2016,2015–2019,Increasing the market value of solar and wind power through interconnection,IEEE Xplore,D,Integrating high rates of solar and wind power deployment requires flexibility measures to maintain market value and ensure power system reliability.,Existing flexibility studies focus on reliability rather than the market value of renewables and often treat hydropower supply in a stylized way.,A linear partial equilibrium model simulates the influence of increased transmission interconnection on the market value of solar and wind power.,LP,LP,Optimization,LP,,Not specified,Not specified,,False,10.1109/EEM.2016.7521333,"Intro, Sec II",
1-162,"Barroso, L.; Flach, B.; Kelman, R.; Bezerra, B.; Binato, S.; Bressane, J.; Pereira, M.",2005,2005,2005–2009,Integrated gas-electricity adequacy planning in Brazil: technical and economical aspects,IEEE Xplore,R,Decoupling natural gas and electricity scheduling leads to dangerously optimistic dispatch results that ignore gas production and transportation constraints during hydropower shortages.,"Scheduling models lack the integration of gas network physical constraints, leading to infeasible thermal dispatch decisions by system operators in hydro-dominated systems (inferred).",A coordination assessment identifies the risks of ignoring gas infrastructure limits in power sector models and highlights the need for integrated natural gas and electricity scheduling.,Theoretical,Other,Review/Theoretical,Theoretical,,Not specified,Not specified,,False,10.1109/PES.2005.1489151,Intro,
1-163,"Ojeda-Esteybar, D. M.; Rubio-Barros, R. G.; Vargas, A.",2017,2017,2015–2019,Integrated operational planning of hydrothermal power and natural gas systems with large scale storages,IEEE Xplore,R,The close interdependency between natural gas and electric power systems requires integrated methodologies to optimize energy resources and improve decision-making for system operators.,Existing integrated models do not properly address the coordinated management of both hydropower reservoirs and natural gas storage facilities in medium-term operational planning.,"A medium-term operational planning model integrates hydrothermal and natural gas systems, assessing the interdependency of their respective storage facilities using multi-stage decomposition.",MILP,MILP,Optimization,MILP,,Not specified,Not specified,,False,10.1007/s40565-017-0282-3,"Intro, Contribution, Conclusion",
1-165,"Zhao, Z.; Cheng, K.; Shao, M.; Huang, H.; Ye, Z.",2025,2025,2020–2025,Inter-Provincial Power Peak-Regulation Ancillary Service Market in the Regional Grid with Hydropower Participation,IEEE Xplore,A,The transition to carbon-neutral energy systems requires remolding the function of hydropower systems to address key integration problems with high proportions of clean energy and renewables.,Existing hydropower operational frameworks lacked a comprehensive strategy to adapt traditional scheduling to the emerging requirements of carbon-neutral power systems and renewable energy integration. (inferred).,This work outlines the key problems and functional remolding strategies necessary for hydropower systems to effectively support carbon neutrality within a modern five-year energy plan.,LP,LP,Optimization,LP,,Not specified,Not specified,Yes,True,10.1109/ETAE65337.2025.11089817,References,
1-166,"Ankner, S.; Gustafsson, L.; Sundqvist, T.",2009,2009,2005–2009,Joint ownership of production facilities in Sweden: A cause for competition concern?,IEEE Xplore,D,Joint ownership of production plants among competing power producers can lead to market power exercise and potential distortions in electricity prices.,There is a need for detailed reviews regarding how structural links between nuclear power plants specifically impact competition in electricity markets. (inferred).,A review analysis discusses potential competition problems and associated risks arising from the joint ownership of Swedish nuclear power plants.,Theoretical,Other,Review/Theoretical,Theoretical,,Not specified,Not specified,,False,10.1109/EEM.2009.5207150,"Abstract, Intro",
1-167,"Sekretarev, Y.; Myatezh, T.; Gorshin, A.",2020,2020,2020–2025,Justification of the Water Price at Hydropower Plants Based on its Operational Features According to the Maximization Profit Criteria,IEEE Xplore,E,Thermal and hydropower plants must optimize fuel cost distribution and water pricing to remain competitive in modern electricity and heat markets.,Traditional management lack fundamentally new criteria for distributing costs between electric and thermal energy while accounting for region-specific ecological parameters.,A profit maximization model calculates a water price for hydropower plants using exergy optimization and interconnected thermodynamic and economic criteria.,LP,LP,Optimization,LP,,Not specified,Not specified,Yes,True,10.1109/FarEastCon50210.2020.9271220,"Intro, Sec II",
1-168,"Jimenez, R. W.; Paucar, V. L.",2007,2007,2005–2009,Long Term Hydrothermal Scheduling Linear Programming Model for Large Scale Power Systems,IEEE Xplore,A,"Large-scale hydrothermal scheduling is computationally limited by the ""curse of dimensionality,"" making it difficult to solve multi-year problems with a large number of state variables and constraints.",Practical systems lacked a linear programming model for long-term scheduling that maintains computational efficiency while properly handling nonlinear and stochastic variables in an open electricity market. (inferred).,A linear programming model for large-scale long-term hydrothermal scheduling reduces operation costs and increases system reliability by effectively managing resources over one to five-year horizons.,LP,LP,Optimization,LP,,Not specified,Not specified,,False,10.1109/LESCPE.2007.4437360,"Intro, Sec I",
1-169,"Koechlin, G.; Bovera, F.; Secchi, P.",2024,2024,2020–2025,Longitudinal Study of Dispatchable Power Units Trading Strategies on Electricity Spot Markets in Italy,IEEE Xplore,C,Global energy crises and market disruptions necessitate a deeper understanding of how individual producing units trade volumes across different spot markets to ensure regulation.,Scientific research has rarely analyzed wholesale electricity trade volumes at the granular level of individual producing units within a bulk power system.,A unit-level analysis methodology uses official market datasets to characterize the traded volume composition and technology types of programmable plants in Italy.,Empirical,Other,Economic-Engineering,Empirical,,Not specified,Not specified,,False,10.1109/EEM60825.2024.10608837,"Intro, Methodology",
1-170,"Molinski, T. S.",2009,2009,2005–2009,Manitoba Hydro wind power reserve requirements,Scopus,C,,,,Other,Other,Other,Other,Canada,Canada,North America,,False,,,
1-171,"Vargas, L.; Palma B, R.; Moya A, O.",2002,2002,2000–2004,Market power and transmission congestion in a longitudinal system,IEEE Xplore,A,"Strategic hydropower plants in bid-based systems can exercise market power to increase spot prices by intentionally decreasing water transfers from wet to dry seasons, distorting economic signals.",Identification of market power in hydrothermal systems lacked a coordinated modeling approach using Nash-Cournot equilibrium and stochastic dynamic programming to reveal strategic behavior in real systems. (inferred).,"A model coordinated with SDP and Nash-Cournot equilibrium identifies market power behavior in strategic hydro plants, demonstrating how they capture excessive revenue through seasonal water manipulation.",Other,Other,Other,Other,,Not specified,Not specified,,False,10.1109/ICPST.2002.1067841,Intro,
1-172,"Marulanda, A.; Briceno, M.; Fuenmayor, K.",2006,2006,2005–2009,Market Power Exercised by Oligopolistic Generating Companies in Imperfect Electricity Markets,IEEE Xplore,A,Determining market prices in environments with imperfect competition requires optimization models that can maximize the total surplus of generators and consumers while accounting for strategic leadership.,Standard market models lacked a framework that integrates a leader company's strategic decisions with a market operator's objective to reveal differences between perfect and imperfect competition profits. (inferred).,"A set of optimization models for market operators and leader companies characterizes mean prices, market shares, and daily profits under perfect versus imperfect competitive market models.",LP,LP,Optimization,LP,,Not specified,Not specified,Yes,True,10.1109/TDCLA.2006.311622,"Optimization Models, Sec VI",
1-173,"Loschenbrand, M.; Korpas, M.; Fodstad, M.",2018,2018,2015–2019,Market Power in Hydro-Thermal Systems with Marginal Cost Bidding,IEEE Xplore,C,"Producers owning storage units have incentives to shift generation into successive periods to exercise market power, leading to welfare losses for consumers in spot markets.",Existing literature lacks models that combine supply function market clearing with active scheduling decisions and inter-period coupling for hydro-thermal players.,A supply function equilibrium model integrates time-period coupling and active scheduling decisions to analyze Nash equilibria and market power in hydro-thermal systems.,Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,,Not specified,Not specified,,False,10.1109/EEM.2018.8469984,"Abstract, Intro",
1-175,"Shrestha, G.; Pokharel, B.; Lie, T.; Fleten, S.",2005,2005,2005–2009,Medium Term Power Planning With Bilateral Contracts,IEEE Xplore,C,Power producers must decide how to allocate hydropower generation between volatile spot markets and bilateral contracts to maximize revenue under inflow and price uncertainty.,Deterministic models fail to provide nonanticipative solutions that account for the probability distribution of future random events like water inflows and spot prices.,A medium-term power planning model uses expected value optimization to determine the optimal volume of bilateral contracts and generation schedules for hydropower producers.,LP,LP,Optimization,LP,,Not specified,Not specified,,False,10.1109/TPWRS.2005.846239,"Intro, Problem Formulation",
1-176,"Sanchez De La Nieta, A.; Catalao, J.; Contreras, J.; Munoz, J.",2015,2015,2015–2019,Mid-Term Effects of Optimal Wind-Reversible Hydro Offering Strategies in Day-Ahead Electricity Markets,IEEE Xplore,G,Coordinating wind power with reversible hydropower units requires managing price risks and imbalances in electricity markets while accounting for the long-term value of water in storage.,Existing literature lacks a high degree of detail for coordinated wind-hydro strategies that incorporate two distinct future water values and risk-hedging measures like CVaR.,A mid-term planning model simulates optimal joint offers for wind and reversible hydropower using CVaR constraints and linearized production curves to maximize total profits.,MILP,MILP,Optimization,MILP,,Not specified,Not specified,,False,10.1109/HICSS.2015.312,"Contributions, Section 3",
1-177,"Rajsl, I.; Zidar, M.; Krajcar, S.",2011,2011,2010–2014,Model of short term hydro power plant scheduling in competitive environment,Scopus,A,"Electricity market liberalization has changed hydrothermal coordination from simple cost minimization to complex profit maximization, where producers must satisfy demand through competitive bidding and strategic planning.",Research lacked a comparative mathematical formulation that evaluates hydrothermal coordination benefits across both cost-minimizing monopolistic environments and profit-maximizing restructured market environments for a single day. (inferred).,"A dual-environment mathematical formulation optimizes hydro-thermal coordination for both cost minimization and profit maximization, incorporating specific constraints for thermal start-up costs and spinning reserves.",MILP,MILP,Optimization,MILP,,Not specified,Not specified,,False,10.1109/EEM.2011.5953051,"Intro, Sec II",
1-178,"Aigner, T.; Farahmand, H.; Gjengedal, T.",2012,2012,2010–2014,Modeling the northern European electricity market,IEEE Xplore,C,The transition toward renewable production requires a revision of market designs and balancing strategies to facilitate the secure integration of fluctuating wind power.,"Current balancing frameworks often fail to utilize the flexibility of Norwegian hydropower across integrated day-ahead, intraday, and real-time markets in Northern Europe.","A multi-market mathematical model optimizes day-ahead, intraday, and real-time dispatch by utilizing the reservoir flexibility of hydropower to reduce system balancing costs.",LP,LP,Optimization,LP,,Not specified,Not specified,,False,10.1109/PESGM.2012.6345742,"Intro, Conclusion",
1-180,"Nycander, E.; Soder, L.",2022,2022,2020–2025,Modelling Prices in Hydro Dominated Electricity Markets,IEEE Xplore,A,"Simple models that accurately reproduce hydropower production often fail to capture daily price variations, which is critical for simulating market clearing mechanisms in systems like Sweden's.",Existing simulations lacked an alternative formulation that explicitly models market clearing using a hydro power supply curve to capture daily price fluctuations while maintaining agreement with historical data.,An alternative model formulation explicitly utilizes a hydropower supply curve and water values to capture daily price variations in the Swedish power system while accurately reflecting production.,Empirical,Other,Economic-Engineering,Empirical,,Not specified,Not specified,Yes,True,10.1109/EEM54602.2022.9921134,"Intro, Nomenclature",
1-181,"Gonzalez, A.; Rios, R.; Pereira, G.; Oxilia, V.; Llamosas, C.; Banco, G.",2020,2020,2020–2025,Multicriteria Analysis of the Opportunity Cost of the Sale of Paraguayan Energy from Itaipu to the Brazilian Market,IEEE Xplore,C,"Decision-makers face complex choices regarding how to best utilize excess energy from binational hydropower plants to maximize national economic, social, and environmental benefits.","Existing economic evaluations of energy exports often ignore multicriteria factors such as political feasibility, social impact, and environmental sustainability in their opportunity cost analysis.","A multicriteria decision model using the Analytic Hierarchy Process evaluates energy export scenarios based on environmental, social, technical, and economic opportunity costs.",Multi-criteria,Other,Economic-Engineering,Multi-criteria,,Not specified,Not specified,,False,10.1109/ARGENCON49523.2020.9505356,"Abstract, Conclusion",
1-182,"Khodadadi, A.; Hesamzadeh, M. R.; Söder, L.",2023,2023,2020–2025,Multimarket Trading Strategy of a Hydropower Producer Considering Active-Time Duration: A Distributional Regression Approach,IEEE Xplore,A,"Hydropower operators must determine optimal offering strategies in hydrodominated markets when participating in new, uncertain balancing markets alongside traditional day-ahead energy markets.",Decision-making frameworks lacked a distributional regression approach to model the uncertain active time duration (ATD) of balancing offers instead of assuming a standard normal distribution. (inferred).,A three-stage optimization problem uses GAMLSS-based distributional regression and machine learning scenarios to forecast active time durations and optimize revenue for cascaded hydropower plants.,SP,Other,Optimization,SP,,Not specified,Not specified,,False,10.1109/JSYST.2022.3205142,"Intro, Contributions",
1-183,"Ortner, A.; Graf, C.",2013,2013,2010–2014,Multi-market unit-commitment and capacity reserve prices in systems with a large share of hydro power: A case study,IEEE Xplore,A,Integration of pumped hydro storage with spot and balancing markets requires fundamental electricity models that can handle hourly planning horizons across multiple control areas and generation units.,Scientific literature lacked a fundamental model that integrates Austrian and German control zones to evaluate the combined impact of pumped storage on balancing and spot market dynamics. (inferred).,"A fundamental electricity model integrates pumped hydro storage with spot and balancing markets, utilizing a multi-zone hourly nomenclature to simulate optimal generation and storage across regions.",LP,LP,Optimization,LP,,Not specified,Not specified,,False,10.1109/EEM.2013.6607336,Nomenclature,
1-184,"Shayesteh, E.; Amelin, M.; Soder, L.",2016,2016,2015–2019,Multi-Station Equivalents for Short-Term Hydropower Scheduling,IEEE Xplore,B,"Short-term scheduling of large, highly linked hydropower systems under price uncertainty is computationally intractable when using detailed descriptions of every internal cascade dependency.",Literature lacked a standardized method to obtain multi-station equivalents that accurately preserve production schedules while significantly reducing required simulation computation time.,A bilevel optimization method creates multi-station equivalent models that provide results close to original systems while reducing the simulation computation time by 99%.,NLP,Other,Optimization,NLP,,Not specified,Not specified,,False,10.1109/TPWRS.2016.2515162,"Abstract, Intro, Sec III",
1-186,"Amelin, M.; Soder, L.",2001,2001,2000–2004,On Monte Carlo simulation of electricity markets with uncertainties in precipitation and load forecasts,IEEE Xplore,A,Correct estimation of system performance indices is difficult because actual market behavior and trading rules under incomplete information are hard to include in analytical production cost models.,Previous probabilistic simulations lacked a method to efficiently include inefficient water usage caused by uncertain inflow and demand forecasts without requiring excessively long execution times. (inferred).,"A Monte Carlo simulation method introduces random water value errors to model the consequences of stochastic planning, providing reasonable estimates of operational costs under incomplete information.",SP,Other,Optimization,SP,,Not specified,Not specified,,False,10.1109/PTC.2001.964639,"Intro, Conclusions",
